
Wikipedia (disambiguation),Wikipedia is a multilingual Internet encyclopedia.,/w/index.php?title=Wikipedia_(disambiguation)&action=edit
274301 Wikipedia,"274301 Wikipedia (provisional designations: 2008 QH24, 2007 FK34, 1997 RO4) is an asteroid orbiting in the asteroid belt. It was discovered by the Andrushivka Astronomical Observatory in August 2008.[3] The asteroid was named after the online encyclopedia Wikipedia in January 2013.[4]",/w/index.php?title=274301_Wikipedia&action=edit
Minor planet designation,"Formal minor planet designations are number–name combinations overseen by the Minor Planet Center, a branch of the IAU. They are used for dwarf planets and small Solar System bodies such as asteroids, but not comets. They are assigned to a body once its orbit is secured, and are unrelated to provisional designations, which are automatically assigned when an object is discovered.",/w/index.php?title=Minor_planet_designation&action=edit
8405 Asbolus,"8405 Asbolus (/ˈæzbɵləs/; from Greek: Άσβολος) is a centaur orbiting between the orbits of Jupiter and Neptune. It was discovered by James Scotti and Robert Jedicke of Spacewatch at Kitt Peak Observatory on April 5, 1995. It is named after Asbolus (Greek for sooty), a centaur in Greek mythology. Its provisional designation was 1995 GO.",/w/index.php?title=8405_Asbolus&action=edit
James V. Scotti,"James Vernon Scotti (born 1960) is an American astronomer. He was born in Bandon, Oregon and graduated from Woodway Senior High in Edmonds, Washington in 1978. He received his B.Sc. in Astronomy from the University of Arizona in Tucson in 1983. Ever since that time, he has worked on the Spacewatch project, which is one of a number of projects that look for near-Earth asteroids (NEAs). He wrote the first automatic asteroid detection software for the project in 1984.",/w/index.php?title=James_V._Scotti&action=edit
Defamation,"Defamation—also calumny, vilification, and traducement—is the communication of a false statement that harms the reputation of an individual person, business, product, group, government, religion, or nation.[1]",/w/index.php?title=Defamation&action=edit
Libel (disambiguation),"A libel is a malicious, false statement in written media, a broadcast, or otherwise published words.",/w/index.php?title=Libel_(disambiguation)&action=edit
Defamation,"Defamation—also calumny, vilification, and traducement—is the communication of a false statement that harms the reputation of an individual person, business, product, group, government, religion, or nation.[1]",/w/index.php?title=Defamation&action=edit
Slander (disambiguation),Slander is a false or malicious claim that may harm someone's reputation.,/w/index.php?title=Slander_(disambiguation)&action=edit
Defamation,"Defamation—also calumny, vilification, and traducement—is the communication of a false statement that harms the reputation of an individual person, business, product, group, government, religion, or nation.[1]",/w/index.php?title=Defamation&action=edit
Racial vilification,"Racial vilification is the term in the legislation of Australia that refers to a public act that encourages or incites others to hate people because of their race, nationality, country of origin, colour or ethnic origin .[citation needed] Public acts of this type are illegal according to e.g., the Racial Vilification Act 1996 of South Australia.",/w/index.php?title=Racial_vilification&action=edit
Australia (continent),"List of cities in Australia by population
List of cities and towns in Papua New Guinea by population",/w/index.php?title=Australia_(continent)&action=edit
